State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Alabama,845761,16119,,,172492,3287,6281095,1281023,4903185
Alaska,145581,850,112228.0,32503.0,199005,1162,3531075,4826873,731545
Arizona,1269780,22307,1151110.0,96363.0,174451,3065,14600693,2005943,7278717
Arkansas,528838,8667,514313.0,5858.0,175239,2872,5482591,1816749,3017804
California,4958281,74708,,,125487,1891,110942853,2807811,39512223
Colorado,829437,9473,610401.0,209563.0,144031,1645,13137886,2281384,5758736
Connecticut,421692,8865,392851.0,19976.0,118277,2486,12393553,3476173,3565287
Delaware,153190,2178,142300.0,8712.0,157317,2237,896509,920664,973764
Florida,3738630,61539,3561193.0,115898.0,174070,2865,43768993,2037877,21477737
Georgia,1664456,30510,1428226.0,205720.0,156766,2874,17698338,1666915,10617423
Hawaii,87664,1018,,,61915,719,2722456,1922812,1415872
Idaho,306845,3929,133856.0,169060.0,171703,2199,2273607,1272258,1787065
Illinois,1809875,29376,1661345.0,119154.0,142827,2318,39115497,3086809,12671821
Indiana,1101185,17557,1008348.0,75280.0,163569,2608,15426009,2291371,6732219
Iowa,560480,7354,478991.0,74135.0,177644,2331,7021770,2225551,3155070
Kansas,465290,6686,423653.0,34951.0,159712,2295,1908026,654933,2913314
Kentucky,785926,10943,,,175914,2449,10541050,2359405,4467673
Louisiana,770894,14801,,,165827,3184,11547336,2483942,4648794
Maine,119662,1324,,,89020,985,3798791,2826036,1344212
Maryland,587285,11220,,,97141,1856,15060973,2491196,6045680
Massachusetts,919097,19404,,,133347,2815,33442164,4851962,6892503
Michigan,1475053,25399,1090933.0,358721.0,147699,2543,19463442,1948906,9986857
Minnesota,902032,9506,874593.0,17933.0,159945,1686,14896979,2641481,5639632
Mississippi,514171,10285,499136.0,4750.0,172764,3456,4249920,1427993,2976149
Missouri,907353,15434,754793.0,137126.0,147839,2515,11342284,1848052,6137428
Montana,191012,2671,184249.0,4092.0,178720,2499,2169001,2029421,1068778
Nebraska,309828,3155,,,160167,1631,4186371,2164161,1934408
Nevada,470641,8017,430366.0,32258.0,152798,2603,5577150,1810671,3080156
New Hampshire,161244,1716,152630.0,6898.0,118587,1262,3520957,2589489,1359711
New Jersey,1252705,28390,1136316.0,87999.0,141036,3196,16120164,1814886,8882190
New Mexico,314264,5367,267030.0,41867.0,149876,2560,5295619,2525537,2096829
New York,2817208,58099,2348908.0,410201.0,144817,2987,80690118,4147833,19453561
North Carolina,1534005,18740,1489392.0,25873.0,146262,1787,20272361,1932895,10488084
North Dakota,162294,1892,157483.0,2919.0,212967,2483,544636,714687,762062
Ohio,1690217,26587,1559671.0,103959.0,144598,2275,18119546,1550123,11689100
Oklahoma,666927,11267,647195.0,8465.0,168545,2847,4702572,1188427,3956971
Oregon,391099,5161,345673.0,40265.0,92727,1224,8076692,1914935,4217737
Pennsylvania,1744526,33521,1580597.0,130408.0,136270,2618,19887993,1553508,12801989
Rhode Island,191763,2932,,,181018,2768,6044696,5705983,1059361
South Carolina,918321,14210,847121.0,56990.0,178359,2760,12467437,2421466,5148714
South Dakota,166208,2334,157096.0,6778.0,187878,2638,1708350,1931083,884659
Tennessee,1316384,17044,1285438.0,13902.0,192759,2496,10711995,1568564,6829174
Texas,4334977,74234,4177970.0,82773.0,149503,2560,47707763,1645329,28995881
Utah,595801,3528,562186.0,30087.0,185842,1100,7243611,2259422,3205958
Vermont,50014,410,40798.0,8806.0,80152,657,2566030,4112300,623989
Virginia,969116,14710,,,113539,1723,14697593,1721933,8535519
Washington,777776,9356,329260.0,439160.0,102139,1229,9842443,1292525,7614893
West Virginia,295949,4895,284787.0,6267.0,165137,2731,4530457,2527949,1792147
Wisconsin,980782,10005,,,168449,1718,12356907,2122292,5822434
Wyoming,111089,1428,108427.0,1234.0,191943,2467,1146474,1980918,578759
